SDTrimSP: VERSION 6.03    17.06.2025
SDTrimSP-Ar-Ti -Panjan-ver3                                                     
          20           0   maxnumber history, 0...only projectiles
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
         3  1.0560550E+00  4.0567855E+00  1.9429649E+00  1.9728442E+01  5.5099078E+01
         4  2.6268735E+00  5.7190701E+00  1.5676462E+00  3.4019816E+01  3.3859967E+01
         5  4.6722721E+00  5.8694334E+00  1.2997487E+00  5.0308232E+01  7.1054274E-15
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
         5         1         6         0         9         1        10         1
         k              x              y              z          ptime         energy
         0 -4.3949127E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0000000E+02
         1  3.3823461E-01  1.0509698E-15  0.0000000E+00  5.0057954E+00  4.8338954E+02
         2  2.9283532E+00  1.7196729E-01 -4.6213856E-01  1.0475284E+01  4.7390053E+02
         3  5.3108690E+00  5.4985334E-02 -7.6424003E-01  1.5516117E+01  3.5398292E+02
         4  7.1655914E+00 -9.6368848E-01 -2.0340340E+00  2.1505220E+01  2.0478477E+02
         5  9.0552126E+00 -1.6151427E-01 -3.1617778E+00  2.8985393E+01  6.0453257E+01
         6  8.7963388E+00 -1.1707729E-01 -5.3314152E+00  4.1845540E+01  3.5406856E+01
         7  7.1190234E+00  3.9391546E-02 -6.8526520E+00  5.9331642E+01  1.1781326E+01
         8  5.5474022E+00  1.4624763E+00 -6.5509084E+00  8.8029886E+01  4.4363068E+00
         9  4.5475219E+00  1.1524995E+00 -4.9935920E+00  1.2918200E+02  0.0000000E+00
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
         6         1         7         0        17         1        18         1
         k              x              y              z          ptime         energy
         0 -4.3949127E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0000000E+02
         1  4.7789779E-01  1.0819813E-15  0.0000000E+00  5.0935508E+00  4.9090281E+02
         2  2.9065105E+00  4.4892489E-02 -1.5746717E-01  1.0106633E+01  4.0250351E+02
         3  5.1212624E+00  1.1338420E+00 -8.5710017E-01  1.5942542E+01  3.4125818E+02
         4  7.2209706E+00  1.4155939E+00 -2.3083658E+00  2.2287553E+01  2.9476127E+02
         5  9.4707387E+00  7.1194086E-01 -3.4372909E+00  2.9236081E+01  2.7142487E+02
         6  1.1941490E+01  7.0036433E-01 -4.1315761E+00  3.6347428E+01  2.4597506E+02
         7  1.4094212E+01  4.6213151E-01 -5.4168379E+00  4.3681413E+01  2.0130264E+02
         8  1.5803128E+01 -1.0313037E+00 -6.6940278E+00  5.2063622E+01  1.8133081E+02
         9  1.6595133E+01 -2.7772216E+00 -8.2387329E+00  6.0415749E+01  1.3629072E+02
        10  1.5998941E+01 -4.5105611E+00 -9.9509687E+00  7.0235454E+01  1.0347838E+02
        11  1.5482825E+01 -7.0287556E+00 -1.0650262E+01  8.2207088E+01  9.4908453E+01
        12  1.4238875E+01 -9.2061343E+00 -1.1115028E+01  9.4177421E+01  8.2640961E+01
        13  1.3697231E+01 -1.1657207E+01 -1.0697383E+01  1.0698073E+02  7.0896804E+01
        14  1.4008756E+01 -1.3688087E+01 -9.5743360E+00  1.1970323E+02  4.3595574E+01
        15  1.5482190E+01 -1.5465442E+01 -9.4554144E+00  1.3573933E+02  2.2147792E+01
        16  1.7629207E+01 -1.5350504E+01 -9.1798497E+00  1.5687519E+02  7.1195781E+00
        17  1.8235581E+01 -1.5012027E+01 -7.5951390E+00  1.8671983E+02  0.0000000E+00
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
         7         1         8         0        11         1        12         1
         k              x              y              z          ptime         energy
         0 -4.3949127E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0000000E+02
         1  1.2550926E-01  1.0037353E-15  0.0000000E+00  4.9134658E+00  4.6653145E+02
         2  2.6539174E+00  5.9019028E-02  7.0942598E-01  1.0460676E+01  4.4910588E+02
         3  5.1306735E+00 -2.6458273E-01  1.5757871E+00  1.6150909E+01  4.3962052E+02
         4  7.3283826E+00 -4.8450988E-01  2.4152081E+00  2.1294948E+01  2.7495082E+02
         5  9.0168288E+00  8.0574272E-01  3.8898013E+00  2.8415508E+01  2.4667145E+02
         6  9.9821485E+00  2.4974338E+00  5.3621126E+00  3.5516602E+01  1.5908634E+02
         7  1.0051307E+01  3.5483079E+00  7.6435694E+00  4.4619437E+01  1.2438281E+02
         8  9.5488130E+00  5.2595474E+00  9.1118994E+00  5.4091847E+01  2.7453209E+01
         9  1.1259986E+01  6.1084100E+00  1.0180433E+01  7.3240012E+01  1.9369369E+01
        10  1.2354918E+01  7.8767004E+00  1.0584377E+01  9.5340090E+01  2.3917430E+00
        11  1.1674809E+01  8.8882537E+00  1.1468868E+01  1.4037669E+02  0.0000000E+00
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
         8         1         9         0        12         1        13         1
         k              x              y              z          ptime         energy
         0 -4.3949127E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0000000E+02
         1  1.6996172E+00  1.3532575E-15  0.0000000E+00  4.9675053E+00  4.7550731E+02
         2  4.1491014E+00  4.6566766E-02  4.9097817E-01  1.0196233E+01  3.9783237E+02
         3  6.3044179E+00 -3.4265442E-01  1.9355095E+00  1.6198575E+01  3.6912402E+02
         4  8.6210434E+00 -5.8568920E-01  2.7006282E+00  2.2024441E+01  2.5089402E+02
         5  1.0314324E+01 -2.3681273E+00  3.5455567E+00  2.9518708E+01  2.2283916E+02
         6  1.1868783E+01 -3.8487544E+00  4.9186314E+00  3.7313894E+01  1.9368015E+02
         7  1.3719797E+01 -4.3537312E+00  6.4595747E+00  4.5392586E+01  1.3439725E+02
         8  1.5993222E+01 -3.8420508E+00  7.1308909E+00  5.4956501E+01  7.6101964E+01
         9  1.6998736E+01 -2.2599165E+00  8.4372021E+00  6.6941049E+01  2.7224934E+01
        10  1.9035848E+01 -1.6068897E+00  8.6752140E+00  8.5851421E+01  1.3717211E+01
        11  2.0210500E+01  1.2146165E-01  9.3321978E+00  1.1304368E+02  4.6740116E+00
        12  2.0675816E+01  1.5245798E+00  1.0669202E+01  1.5565635E+02  0.0000000E+00
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
         9         1        10         0        10         1        11         1
         k              x              y              z          ptime         energy
         0 -4.3949127E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0000000E+02
         1  1.7021451E+00  1.3538188E-15  0.0000000E+00  5.0188074E+00  4.8366055E+02
         2  4.2856707E+00 -3.2518040E-01 -2.1492002E-01  1.0437112E+01  4.7229912E+02
         3  6.7258091E+00 -3.2127389E-01 -5.2893565E-01  1.5602812E+01  3.9819202E+02
         4  9.0360692E+00 -1.2886562E+00 -1.2361372E+00  2.1554068E+01  3.6204770E+02
         5  1.1571846E+01 -1.4671096E+00 -1.7355784E+00  2.7768099E+01  3.3147197E+02
         6  1.3727155E+01 -2.4036785E+00 -2.6173281E+00  3.4061649E+01  2.7217539E+02
         7  1.6084739E+01 -3.2812660E+00 -2.2535907E+00  4.1096625E+01  2.2132889E+02
         8  1.7756104E+01 -4.9168570E+00 -2.6431891E+00  4.8378565E+01  6.2911172E+01
         9  1.7395095E+01 -6.5183278E+00 -1.4977976E+00  5.9925741E+01  7.4674781E+00
        10  1.8273142E+01 -6.1300385E+00 -3.4852616E-01  8.5103338E+01  2.5266158E-02
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
        10         1        11         0         4         1         5         1
         k              x              y              z          ptime         energy
         0 -4.3949127E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0000000E+02
         1  1.7691335E+00  1.3686932E-15  0.0000000E+00  4.6867470E+00  3.5008206E+02
         2  3.8253778E+00  7.6737637E-01  1.2913592E+00  1.0899824E+01  2.8625685E+02
         3  6.0307057E+00  1.5441038E+00  1.6109947E+00  1.7272830E+01  1.9806674E+01
         4  5.9441748E+00  2.3794856E+00  4.2861130E-01  3.2197184E+01  0.0000000E+00
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
        11         1        12         0        12         1        13         1
         k              x              y              z          ptime         energy
         0 -4.3949127E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0000000E+02
         1  2.3969585E+00  1.5080984E-15  0.0000000E+00  4.9394579E+00  4.6925438E+02
         2  5.0187998E+00 -4.5871527E-01 -2.0577409E-01  1.0560055E+01  4.6071844E+02
         3  7.3714670E+00 -1.1378440E+00 -2.4561257E-01  1.5767203E+01  3.9521260E+02
         4  9.4169965E+00 -2.2234469E+00 -1.2746150E+00  2.1585362E+01  3.1819923E+02
         5  1.1060443E+01 -4.2133136E+00 -1.6246320E+00  2.8249404E+01  2.8677244E+02
         6  1.2088772E+01 -6.3731223E+00 -2.4770522E+00  3.5095222E+01  2.4532639E+02
         7  1.2593732E+01 -8.2044143E+00 -4.0854289E+00  4.2353908E+01  1.7603513E+02
         8  1.3924784E+01 -1.0312878E+01 -4.6883033E+00  5.1186623E+01  1.4798334E+02
         9  1.4092295E+01 -1.2531004E+01 -5.3897148E+00  5.9952680E+01  4.5494722E+01
        10  1.3223913E+01 -1.3997950E+01 -4.2757785E+00  7.3774533E+01  1.1963012E+01
        11  1.3529274E+01 -1.5914995E+01 -4.5781869E+00  9.9882434E+01  2.0547673E+00
        12  1.2982801E+01 -1.7339671E+01 -3.8567599E+00  1.5452468E+02  2.2204460E-16
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
        12         1        13         0         6         1         7         1
         k              x              y              z          ptime         energy
         0 -4.3949127E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0000000E+02
         1  1.2162137E+00  1.2459203E-15  0.0000000E+00  5.0947584E+00  4.9058473E+02
         2  3.5011393E+00 -7.6141759E-02  3.0992618E-01  9.8508560E+00  1.0399575E+02
         3  3.9073813E+00  5.0975157E-01  2.2343096E+00  1.9050278E+01  2.8178450E+01
         4  4.3897746E+00 -9.9677049E-01  3.5054798E+00  3.6569372E+01  1.2030586E+01
         5  6.4190529E+00 -1.7009546E+00  3.9076828E+00  6.5554439E+01  3.6457942E+00
         6  7.4613053E+00 -5.8015927E-01  2.9869043E+00  1.0879758E+02  0.0000000E+00
