SDTrimSP: VERSION 6.03    17.06.2025
SDTrimSP-Ar-Ti -Panjan-ver3                                                     
      100000   maxnumber (backscattered-projectile)    
        1000         100   NH NR
      species     gen/coll      fluence   end-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            1            5  0.50000E-02  0.96410E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.45614E+01  0.14435E+00  0.11538E+02  0.45614E+01  0.13592E+01  0.11538E+02  0.81067E+00  0.13616E+00  0.69016E+01  0.47893E+03  0.46519E+03  0.11429E+02  0.42708E+03  0.75465E+02
            1           12  0.50000E-02  0.44097E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.64997E+01 -0.98455E+01  0.15853E+02  0.90703E+01  0.98455E+01  0.16541E+02  0.88184E+00 -0.99963E+00  0.28464E+02  0.45875E+03  0.44203E+03  0.36838E+02  0.39311E+03  0.11352E+03
            1            2  0.50000E-02  0.32046E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.63068E+01 -0.22366E+01  0.16422E+01  0.63068E+01  0.22366E+01  0.16422E+01  0.95248E+00 -0.99147E+00  0.00000E+00  0.48856E+03  0.48786E+03  0.82394E+01  0.48395E+03  0.00000E+00
            1            5  0.60000E-02  0.78356E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.44114E+01  0.15273E+02 -0.69798E+01  0.44114E+01  0.15273E+02  0.69798E+01  0.52791E+00  0.82785E+00  0.99330E+01  0.40278E+03  0.39716E+03  0.18867E+02  0.38377E+03  0.34357E+02
            1            4  0.60000E-02  0.45536E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.58536E+01  0.88021E+01  0.88659E+01  0.58536E+01  0.88021E+01  0.88659E+01  0.65798E+00  0.47415E+00  0.11054E+02  0.48168E+03  0.47566E+03  0.13766E+02  0.44883E+03  0.11576E+03
            1            4  0.60000E-02  0.65057E+00 -0.43949E+01  0.00000E+00  0.00000E+00 -0.55059E+01 -0.35822E+01 -0.88100E+01  0.55059E+01  0.35822E+01  0.88100E+01  0.80611E+00 -0.73916E+00  0.78930E+01  0.49002E+03  0.48074E+03  0.93301E+01  0.45001E+03  0.69610E+02
            1            8  0.60000E-02  0.67909E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.57366E+01  0.13319E+02  0.74981E+01  0.70118E+01  0.13319E+02  0.86737E+01  0.73474E+00  0.98692E+00  0.17742E+02  0.40306E+03  0.38519E+03  0.29034E+02  0.35489E+03  0.64681E+02
            1            3  0.70000E-02  0.66574E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.63252E+01  0.30724E+01  0.95817E+01  0.63252E+01  0.35381E+01  0.95817E+01  0.77093E+00 -0.93877E-01  0.61175E+01  0.42155E+03  0.41436E+03  0.11871E+02  0.40415E+03  0.24492E+02
            1            3  0.70000E-02  0.11691E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.57853E+01  0.96163E+01  0.88254E+01  0.57853E+01  0.96163E+01  0.88254E+01  0.63556E+00  0.79923E+00  0.21208E+01  0.47774E+03  0.46801E+03  0.10565E+02  0.45406E+03  0.35121E+02
            1            3  0.70000E-02  0.88846E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.56795E+01 -0.12726E+02  0.94344E+01  0.56795E+01  0.12726E+02  0.94344E+01  0.58866E+00 -0.71370E+00  0.76835E+01  0.39817E+03  0.38874E+03  0.12988E+02  0.36364E+03  0.37004E+02
            1            6  0.70000E-02  0.56172E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.56361E+01 -0.15676E+02 -0.17317E+02  0.56361E+01  0.15676E+02  0.17317E+02  0.49169E+00 -0.71208E+00  0.12172E+02  0.42566E+03  0.41708E+03  0.18166E+02  0.36675E+03  0.54675E+02
            1            7  0.70000E-02  0.20952E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.67576E+01  0.79627E+01  0.44503E+01  0.67576E+01  0.79627E+01  0.69272E+01  0.91238E+00  0.75228E+00  0.16364E+02  0.45658E+03  0.44732E+03  0.22467E+02  0.41791E+03  0.66506E+02
            1            5  0.70000E-02  0.47677E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.53608E+01  0.26966E+01 -0.61645E+01  0.53608E+01  0.48221E+01  0.61645E+01  0.85695E+00 -0.48291E+00  0.88532E+01  0.48094E+03  0.47468E+03  0.14295E+02  0.45258E+03  0.79444E+02
            1            7  0.70000E-02  0.84564E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.55515E+01 -0.14530E+02 -0.57019E+01  0.55515E+01  0.14530E+02  0.57019E+01  0.79067E+00 -0.99884E+00  0.14950E+02  0.39058E+03  0.37751E+03  0.24856E+02  0.36721E+03  0.50299E+02
            1            2  0.70000E-02  0.31558E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.52368E+01  0.38677E+01 -0.10194E+02  0.52368E+01  0.38677E+01  0.10194E+02  0.64980E+00  0.29501E+00  0.20109E+01  0.45940E+03  0.45464E+03  0.90460E+01  0.44479E+03  0.13525E+02
