SDTrimSP: VERSION 6.03    17.06.2025
SDTrimSP-Ar-Ti -Panjan-ver3                                                     
          10   maxnumber history (backscattered-projectile)    
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
        13         1        14         0         3         1         6         2
         5  5.2021560E+00 -8.4640852E+00 -6.3895532E-01  3.3264957E+01  1.9045565E+02
         6  4.1236011E+00 -1.0706626E+01 -9.8969670E-01  4.1581480E+01  1.6454558E+02
         7  2.8629173E+00 -1.2264844E+01 -2.1774327E+00  4.9883683E+01  4.8492648E+01
         8  8.2830953E-01 -1.1536284E+01 -2.5360836E+00  6.4288071E+01  2.4868313E+01
         9 -1.4030137E+00 -9.5085265E+00 -3.2999861E+00  6.4288071E+01  2.4617059E+01
        10 -5.4467457E+00 -6.5561750E+00 -4.6787678E+00  6.4288071E+01  2.4617059E+01
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
         1         2        25         0         3         1         5         2
         k              x              y              z          ptime         energy
         0 -4.3949127E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0000000E+02
         1  4.3646125E-01  1.0727805E-15  0.0000000E+00  4.5149146E+00  1.0113425E+02
         2  1.1505250E+00  1.9187509E+00  9.2228086E-01  1.4722027E+01  7.4518026E+01
         3  3.6879023E-01  3.7630864E+00  2.1432727E+00  2.7152542E+01  3.8120224E+01
         4 -4.9577853E+00  4.4574170E+00  1.1538397E+01  2.7152542E+01  3.8120224E+01
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
         2         2        26         0         8         1        10         2
         k              x              y              z          ptime         energy
         0 -4.3949127E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0000000E+02
         1  7.7048752E-01  1.1469492E-15  0.0000000E+00  4.6041901E+00  2.5693008E+02
         2  2.5147858E+00 -3.3798714E-01 -1.9928388E+00  1.2207722E+01  2.4613031E+02
         3  3.9165408E+00 -4.8574299E-01 -3.7971409E+00  1.8873431E+01  1.1383278E+02
         4  3.4739524E+00 -8.3002214E-02 -6.3248247E+00  3.0000760E+01  1.0495499E+02
         5  3.7598719E+00  3.1668650E-01 -8.8479432E+00  4.1470296E+01  9.5250466E+01
         6  3.8446070E+00  1.2380706E-01 -1.1348259E+01  5.3225724E+01  8.1181295E+01
         7  3.3179499E+00 -5.6733213E-01 -1.3574793E+01  6.5359873E+01  5.3475910E+01
         8  1.7625406E+00  1.0133734E-01 -1.5244474E+01  8.0249951E+01  2.8263572E+01
         9 -5.4652942E+00  6.5650706E+00 -2.0191610E+01  8.0249951E+01  2.8263572E+01
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
         3         2        42         0         9         1        11         2
         k              x              y              z          ptime         energy
         0 -4.3949127E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0000000E+02
         1  1.7354062E+00  1.3612042E-15  0.0000000E+00  4.8956072E+00  4.6189326E+02
         2  4.1545494E+00 -6.1758918E-01  2.4762895E-01  1.0224039E+01  3.6657099E+02
         3  6.0994071E+00 -1.6014024E+00  1.5431849E+00  1.6270312E+01  2.8617523E+02
         4  6.8871188E+00 -3.0113711E+00  3.6757869E+00  2.3488163E+01  2.7221912E+02
         5  7.3036720E+00 -4.6124175E+00  5.3907911E+00  3.0084191E+01  1.7066734E+02
         6  6.5210270E+00 -6.8409493E+00  6.0863554E+00  3.8695566E+01  1.1884936E+02
         7  5.5337314E+00 -8.2409860E+00  8.0350482E+00  4.9574723E+01  1.0260896E+02
         8  3.9099354E+00 -9.0146995E+00  9.9303838E+00  6.1368446E+01  9.1826042E+01
         9  2.1488861E+00 -9.5450407E+00  1.1535194E+01  7.3016391E+01  7.1626841E+01
        10 -5.1479659E+00 -7.0017501E+00  1.4265952E+01  7.3016391E+01  7.1626841E+01
 ende
          10   number history from SDTrimSP
