Energy (Ti) [eV]	Probability (Ti) [1/eV]
0.3712928915	0.04402863989761769	
1.1054718745	0.08663849350081128	
1.8396508575000001	0.10116563142850156	
2.5738298405	0.1003945519206624	
3.3080088235000007	0.09291508069462227	
4.0421878065	0.08339995956788673	
4.776366789500001	0.07479471226040128	
5.5105457725	0.06558802293680145	
6.2447247555	0.05945023005440151	
6.9789037385	0.05437652689281958	
7.713082721500001	0.048454636272614614	
8.4472617045	0.044044061487774504	
9.1814406875	0.03886240719509515	
9.9156196705	0.0352074903279373	
10.649798653500001	0.03095113144466507	
11.383977636500001	0.028314039527855037	
12.1181566195	0.025923693053553548	
12.8523356025	0.023733827251290255	
13.586514585500002	0.021035048973853037	
14.320693568500001	0.02001722402350536	
15.0548725515	0.018552172958610898	
15.789051534500002	0.017827358221241974	
16.523230517500004	0.01599218899258479	
17.257409500500003	0.013463048206872249	
17.991588483500003	0.013077508452952654	
18.725767466500002	0.011427398306176787	
19.459946449500002	0.012059683502604925	
20.1941254325	0.011273182404608895	
20.928304415500005	0.008990787061404949	
21.662483398500004	0.009145002962972788	
22.396662381500004	0.00801922688152757	
23.130841364500004	0.008281393914192895	
23.865020347500003	0.007371520094942651	
24.599199330500003	0.007001401931179841	
25.333378313500003	0.006631283767417029	
26.067557296500002	0.005921890620204976	
26.801736279500005	0.005690566767853191	
27.535915262500005	0.005181654292679353	
28.270094245500005	0.005551772456442164	
29.004273228500004	0.004503104325780867	
29.738452211500004	0.0050737031615818665	
30.472631194500003	0.004055878211234137	
31.206810177500003	0.003593230506530623	
31.940989160500003	0.0037166032277848753	
32.6751681435	0.003593230506530623	
33.40934712650001	0.003346485064022082	
34.1435261095	0.0030688964411999743	
34.87770509250001	0.0031151612116703258	
35.6118840755	0.0027604646380642982	
36.34606305850001	0.002837572588848217	
37.0802420415	0.0022978169333607848	
37.81442102450001	0.0022361305727336494	
38.5486000075	0.0023903464743014876	
39.282778990500006	0.0023132385235175687	
40.0169579735	0.002421189654615055	
40.751136956500005	0.0018660124089708203	
41.48531593950001	0.0018351692286572708	
42.219494922500004	0.0018351692286572708	
42.95367390550001	0.0017117965074030007	
43.687852888500004	0.00146505106489446	
44.42203187150001	0.001696374917246217	
45.1562108545	0.0015267374255215952	
45.89038983750001	0.0012183056223859193	
46.6245688205	0.0011257760814452167	
47.35874780350001	0.001110354491288433	
48.0929267865	0.0011874624420723518	
48.82710576950001	0.0009869817700341626	
49.5612847525	0.000879030638936676	
50.29546373550001	0.0011874624420723518	
51.0296427185	0.0009252954094070274	
51.76382170150001	0.0010795113109748652	
52.4980006845	0.0007710795078391894	
53.232179667500006	0.000986981770034153	
53.96635865050001	0.0009715601798773786	
54.700537633500005	0.0007093931472120543	
55.43471661650001	0.0005705988358010002	
56.168895599500004	0.0006322851964281354	
56.90307458250001	0.0007865010979959732	
57.637253565500004	0.0007865010979959732	
58.37143254850001	0.000663128376741703	
59.1056115315	0.0006785499668984868	
59.83979051450001	0.0005243340653306489	
60.5739694975	0.0004626477047035137	
61.30814848050001	0.000508912475173865	
62.0423274635	0.0005243340653306489	
62.77650644650001	0.0004626477047035137	
63.5106854295	0.0003084318031356758	
64.24486441250001	0.00032385339329245956	
64.9790433955	0.00038553975391959847	
65.7132223785	0.0002775886228221055	
66.4474013615	0.0003084318031356788	
67.18158034449999	0.0003238533932924564	
67.9157593275	0.00029301021297889484	
68.6499383105	0.0002313238523517546	
69.3841172935	0.00029301021297889484	
70.11829627649999	0.00030843180313567284	
70.85247525950001	0.00020048067203818734	
71.5866542425	0.0003084318031356788	
72.3208332255	0.0002621670326653219	
73.0550122085	0.0002313238523517591	
73.78919119150001	0.00024674544250853826	
74.5233701745	0.00013879431141105544	
75.2575491575	0.0003238533932924564	
75.9917281405	0.0002313238523517591	
76.72590712350001	0.00018505908188140368	
77.4600861065	0.00016963749172462333	
78.19426508949999	9.252954094070184e-05	
78.9284440725	0.00012337272125427151	
79.6626230555	0.00013879431141105276	
80.3968020385	0.00012337272125427151	
81.13098102149999	6.168636062713456e-05	
81.86516000450001	0.00010795113109748548	
82.5993389875	9.252954094070363e-05	
83.3335179705	0.00015421590156783642	
84.0676969535	4.6264770470351815e-05	
84.80187593650001	0.00010795113109748548	
85.5360549195	7.71079507839197e-05	
86.2702339025	0.00010795113109748548	
87.0044128855	3.084318031356788e-05	
87.73859186850001	7.710795078391821e-05	
88.4727708515	7.71079507839197e-05	
89.2069498345	0.00010795113109748548	
89.9411288175	1.542159015678394e-05	
90.67530780050001	6.168636062713456e-05	
91.4094867835	4.6264770470351815e-05	
92.14366576649999	7.710795078391821e-05	
92.8778447495	0.00013879431141105544	
93.6120237325	0.0	
94.3462027155	3.084318031356728e-05	
95.0803816985	7.71079507839197e-05	
95.81456068150001	3.084318031356728e-05	
96.5487396645	6.168636062713576e-05	
97.2829186475	7.710795078391821e-05	
98.0170976305	6.168636062713576e-05	
98.75127661350001	6.168636062713456e-05	
99.4854555965	3.084318031356788e-05	
100.2196345795	4.626477047035092e-05	
100.9538135625	0.0	
101.68799254550001	4.626477047035092e-05	
102.4221715285	4.6264770470351815e-05	
103.1563505115	3.084318031356728e-05	
103.8905294945	4.6264770470351815e-05	
104.62470847750001	3.084318031356728e-05	
105.3588874605	4.6264770470351815e-05	
106.09306644349999	0.0	
106.82724542650001	4.626477047035092e-05	
107.5614244095	0.0	
108.2956033925	1.542159015678364e-05	
109.0297823755	1.542159015678394e-05	
109.76396135850001	0.0	
110.4981403415	3.084318031356788e-05	
111.2323193245	1.542159015678364e-05	
